gene_id	gene_name
FBgn0267431	Myo81F
FBgn0085804	CR41571
FBgn0039987	CR12798
FBgn0267798	lncRNA:CR46123
FBgn0267797	lncRNA:CR46122
FBgn0058182	CR40182
FBgn0267430	Pzl
FBgn0266747	lncRNA:CR45220
FBgn0086917	spok
FBgn0010247	Parp
FBgn0086378	Alg-2
FBgn0267816	lncRNA:CR46141
FBgn0263977	Tim17b
FBgn0069923	CG41128
FBgn0039955	CG41099
FBgn0259821	CG42402
FBgn0027341	Gfat1
FBgn0085812	lncRNA:CR41601
FBgn0058198	CG40198
FBgn0286937	lncRNA:CR46431
FBgn0037213	CG12581
FBgn0053294	CR33294
FBgn0000500	Dsk
FBgn0037215	beta-Man
FBgn0037217	CG14636
FBgn0037218	aux
FBgn0051516	CG31516
FBgn0261436	DhpD
FBgn0037220	CG14641
FBgn0015331	abs
FBgn0010225	Gel
FBgn0267988	asRNA:CR46255
FBgn0037222	CG14642
FBgn0085334	CG34305
FBgn0037223	TwdlU
FBgn0037224	TwdlF
FBgn0037225	TwdlG
FBgn0250821	CG14644
FBgn0037227	TwdlV
FBgn0041621	Or82a
FBgn0037228	CG1092
FBgn0037229	CG9766
FBgn0267157	lncRNA:CR45597
FBgn0041605	cpx
FBgn0037230	Nepl11
FBgn0262214	mir-929
FBgn0037231	Vps24
FBgn0027930	MP1
FBgn0267815	asRNA:CR46140
FBgn0037232	Suv3
FBgn0261086	Syt14
FBgn0037234	CG9795
FBgn0027866	CG9776
FBgn0037236	Skp2
FBgn0040687	CG14645
FBgn0037235	CG1103
FBgn0261434	hkb
FBgn0037238	CG1090
FBgn0266227	lncRNA:CR44922
FBgn0037239	Sfxn1-3
FBgn0037240	Cont
FBgn0003882	tub
FBgn0037241	CG14646
FBgn0086608	CG34112
FBgn0267814	asRNA:CR46139
FBgn0267661	asRNA:CR45999
FBgn0037242	CG9855
FBgn0086605	CG9853
FBgn0037244	CG14647
FBgn0266697	lncRNA:CR45187
FBgn0263594	lost
FBgn0052944	CG32944
FBgn0051528	CG31528
FBgn0037248	srl
FBgn0051525	CG31525
FBgn0037249	eIF3a
FBgn0037250	CG1074
FBgn0267813	asRNA:CR46138
FBgn0037251	CG9804
FBgn0264983	asRNA:CR44134
FBgn0037252	CG14650
FBgn0051522	CG31522
FBgn0263620	asRNA:CR43629
FBgn0051523	CG31523
FBgn0037254	CG14651
FBgn0037255	Fip1
FBgn0085386	CG34357
FBgn0085454	CG34425
FBgn0051526	lncRNA:CR31526
FBgn0037260	Mur82C
FBgn0052945	CG32945
FBgn0267118	lncRNA:CR45558
FBgn0265376	lncRNA:CR44317
FBgn0087012	5-HT2A
FBgn0267233	lncRNA:CR45673
