HMDB ID	KEGG ID	reference acc.
HMDB00001	C01152	HMDB0000001
HMDB0004935	C01152	HMDB0000001
HMDB0006703	C01152	HMDB0000001
HMDB0006704	C01152	HMDB0000001
HMDB04935	C01152	HMDB0000001
HMDB06703	C01152	HMDB0000001
HMDB06704	C01152	HMDB0000001
HMDB0000001	C01152	HMDB0000001
HMDB00002	C00986	HMDB0000002
HMDB0000002	C00986	HMDB0000002
HMDB00005	C00109	HMDB0000005
HMDB0006544	C00109	HMDB0000005
HMDB06544	C00109	HMDB0000005
HMDB0000005	C00109	HMDB0000005
HMDB00008	C05984	HMDB0000008
HMDB0000008	C05984	HMDB0000008
HMDB00010	C05299	HMDB0000010
HMDB0004990	C05299	HMDB0000010
HMDB0004991	C05299	HMDB0000010
HMDB04990	C05299	HMDB0000010
HMDB04991	C05299	HMDB0000010
HMDB0000010	C05299	HMDB0000010
HMDB00011	C01089	HMDB0000011
HMDB0000011	C01089	HMDB0000011
HMDB00012	C00526	HMDB0000012
HMDB0000012	C00526	HMDB0000012
HMDB00014	C00881	HMDB0000014
HMDB0000014	C00881	HMDB0000014
HMDB00015	C05488	HMDB0000015
HMDB0000015	C05488	HMDB0000015
HMDB00016	C03205	HMDB0000016
HMDB0000016	C03205	HMDB0000016
HMDB00017	C00847	HMDB0000017
HMDB0000017	C00847	HMDB0000017
HMDB00019	C00141	HMDB0000019
HMDB0004260	C00141	HMDB0000019
HMDB04260	C00141	HMDB0000019
HMDB0000019	C00141	HMDB0000019
HMDB00020	C00642	HMDB0000020
HMDB0000020	C00642	HMDB0000020
HMDB00021	C02515	HMDB0000021
HMDB0000021	C02515	HMDB0000021
HMDB00022	C05587	HMDB0000022
HMDB0006022	C05587	HMDB0000022
HMDB06022	C05587	HMDB0000022
HMDB0000022	C05587	HMDB0000022
HMDB0000435	C06001	HMDB0000023
HMDB00023	C06001	HMDB0000023
HMDB00435	C06001	HMDB0000023
HMDB0000023	C06001	HMDB0000023
HMDB00024	C06125	HMDB0000024
HMDB0000024	C06125	HMDB0000024
HMDB00026	C02642	HMDB0000026
HMDB0000026	C02642	HMDB0000026
HMDB0002154	C00272	HMDB0000027
HMDB00027	C00272	HMDB0000027
HMDB02154	C00272	HMDB0000027
HMDB0000027	C00272	HMDB0000027
HMDB00030	C00120	HMDB0000030
HMDB0000030	C00120	HMDB0000030
HMDB00031	C00523	HMDB0000031
HMDB0000031	C00523	HMDB0000031
HMDB00032	C01164	HMDB0000032
HMDB0000032	C01164	HMDB0000032
HMDB00033	C00386	HMDB0000033
HMDB0000033	C00386	HMDB0000033
HMDB00034	C00147	HMDB0000034
HMDB0000034	C00147	HMDB0000034
HMDB00036	C05122	HMDB0000036
HMDB0000036	C05122	HMDB0000036
HMDB00037	C01780	HMDB0000037
HMDB0000037	C01780	HMDB0000037
HMDB00038	C02953	HMDB0000038
HMDB0000038	C02953	HMDB0000038
HMDB00039	C00246	HMDB0000039
HMDB0000039	C00246	HMDB0000039
HMDB00042	C00033	HMDB0000042
HMDB0000042	C00033	HMDB0000042
HMDB00043	C00719	HMDB0000043
HMDB0000043	C00719	HMDB0000043
HMDB00044	C01041	HMDB0000044
HMDB0014273	C01041	HMDB0000044
HMDB0029945	C01041	HMDB0000044
HMDB14273	C01041	HMDB0000044
HMDB29945	C01041	HMDB0000044
HMDB0000044	C01041	HMDB0000044
HMDB00045	C00020	HMDB0000045
HMDB0000045	C00020	HMDB0000045
HMDB00048	C05400 	HMDB0000048
HMDB0000048	C05400 	HMDB0000048
HMDB0004401	C00212	HMDB0000050
HMDB0004402	C00212	HMDB0000050
HMDB0004421	C00212	HMDB0000050
HMDB00050	C00212	HMDB0000050
HMDB04401	C00212	HMDB0000050
HMDB04402	C00212	HMDB0000050
HMDB04421	C00212	HMDB0000050
HMDB0000050	C00212	HMDB0000050
HMDB00051	C00014	HMDB0000051
HMDB0000051	C00014	HMDB0000051
HMDB0001006	C03406	HMDB0000052
HMDB00052	C03406	HMDB0000052
HMDB01006	C03406	HMDB0000052
HMDB0000052	C03406	HMDB0000052
HMDB00053	C00280	HMDB0000053
HMDB0000053	C00280	HMDB0000053
HMDB00055	C06422	HMDB0000055
HMDB0000055	C06422	HMDB0000055
HMDB00056	C00099	HMDB0000056
HMDB0000056	C00099	HMDB0000056
HMDB00058	C00575	HMDB0000058
HMDB0000058	C00575	HMDB0000058
HMDB00060	C00164	HMDB0000060
HMDB0000060	C00164	HMDB0000060
HMDB0001468	C00054	HMDB0000061
HMDB00061	C00054	HMDB0000061
HMDB01468	C00054	HMDB0000061
HMDB0000061	C00054	HMDB0000061
HMDB0001467	C00318	HMDB0000062
HMDB00062	C00318	HMDB0000062
HMDB01467	C00318	HMDB0000062
HMDB0000062	C00318	HMDB0000062
HMDB00063	C00735	HMDB0000063
HMDB0014879	C00735	HMDB0000063
HMDB14879	C00735	HMDB0000063
HMDB0000063	C00735	HMDB0000063
HMDB00064	C00300	HMDB0000064
HMDB0000064	C00300	HMDB0000064
HMDB0000507	C00187	HMDB0000067
HMDB00067	C00187	HMDB0000067
HMDB00507	C00187	HMDB0000067
HMDB0062453	C00187	HMDB0000067
HMDB62453	C00187	HMDB0000067
HMDB0000067	C00187	HMDB0000067
HMDB0000615	C00788	HMDB0000068
HMDB00068	C00788	HMDB0000068
HMDB00615	C00788	HMDB0000068
HMDB0000068	C00788	HMDB0000068
HMDB00070	C00408	HMDB0000070
HMDB0000070	C00408	HMDB0000070
HMDB00071	C05512	HMDB0000071
HMDB0000071	C05512	HMDB0000071
HMDB0000461	C00417	HMDB0000072
HMDB00072	C00417	HMDB0000072
HMDB00461	C00417	HMDB0000072
HMDB0000072	C00417	HMDB0000072
HMDB00073	C03758	HMDB0000073
HMDB0000073	C03758	HMDB0000073
HMDB00076	C00429	HMDB0000076
HMDB0000076	C00429	HMDB0000076
HMDB00077	C01227	HMDB0000077
HMDB0000077	C01227	HMDB0000077
HMDB00078	C01419	HMDB0000078
HMDB0028775	C01419	HMDB0000078
HMDB28775	C01419	HMDB0000078
HMDB0000078	C01419	HMDB0000078
HMDB00079	C00906	HMDB0000079
HMDB0000079	C00906	HMDB0000079
HMDB00082	C00063	HMDB0000082
HMDB0000082	C00063	HMDB0000082
HMDB00085	C00330	HMDB0000085
HMDB0000085	C00330	HMDB0000085
HMDB0000049	C00670	HMDB0000086
HMDB00049	C00670	HMDB0000086
HMDB00086	C00670	HMDB0000086
HMDB0000086	C00670	HMDB0000086
HMDB00087	C00543	HMDB0000087
HMDB0000087	C00543	HMDB0000087
HMDB00089	C02961	HMDB0000089
HMDB0000089	C02961	HMDB0000089
HMDB00092	C01026	HMDB0000092
HMDB0000092	C01026	HMDB0000092
HMDB00094	C00158	HMDB0000094
HMDB0000094	C00158	HMDB0000094
HMDB00095	C00055	HMDB0000095
HMDB0000095	C00055	HMDB0000095
HMDB00097	C00114	HMDB0000097
HMDB0000097	C00114	HMDB0000097
HMDB0003763	C00181	HMDB0000098
HMDB00098	C00181	HMDB0000098
HMDB03763	C00181	HMDB0000098
HMDB0000098	C00181	HMDB0000098
HMDB0003614	C02291	HMDB0000099
HMDB00099	C02291	HMDB0000099
HMDB03614	C02291	HMDB0000099
HMDB0000099	C02291	HMDB0000099
HMDB0005778	C00559	HMDB0000101
HMDB00101	C00559	HMDB0000101
HMDB0011722	C00559	HMDB0000101
HMDB05778	C00559	HMDB0000101
HMDB11722	C00559	HMDB0000101
HMDB0000101	C00559	HMDB0000101
HMDB00107	C01697	HMDB0000107
HMDB0000107	C01697	HMDB0000107
HMDB00108	C00469	HMDB0000108
HMDB0000108	C00469	HMDB0000108
HMDB00112	C00334	HMDB0000112
HMDB0000112	C00334	HMDB0000112
HMDB00114	C01233	HMDB0000114
HMDB0000114	C01233	HMDB0000114
HMDB0003035	C03547	HMDB0000115
HMDB00115	C03547	HMDB0000115
HMDB03035	C03547	HMDB0000115
HMDB0000115	C03547	HMDB0000115
HMDB0004285	C05582	HMDB0000118
HMDB00118	C05582	HMDB0000118
HMDB04285	C05582	HMDB0000118
HMDB0000118	C05582	HMDB0000118
HMDB00119	C00048	HMDB0000119
HMDB0000119	C00048	HMDB0000119
HMDB00121	C00504	HMDB0000121
HMDB0000121	C00504	HMDB0000121
HMDB0006564	C00031	HMDB0000122
HMDB00122	C00031	HMDB0000122
HMDB06564	C00031	HMDB0000122
HMDB0000122	C00031	HMDB0000122
HMDB00123	C00037	HMDB0000123
HMDB0000123	C00037	HMDB0000123
HMDB00124	C00085	HMDB0000124
HMDB0000124	C00085	HMDB0000124
HMDB0001463	C02471	HMDB0000125
HMDB0006960	C02471	HMDB0000125
HMDB00125	C02471	HMDB0000125
HMDB01463	C02471	HMDB0000125
HMDB06960	C02471	HMDB0000125
HMDB0000125	C02471	HMDB0000125
HMDB0002722	C00093	HMDB0000126
HMDB00126	C00093	HMDB0000126
HMDB02722	C00093	HMDB0000126
HMDB0000126	C00093	HMDB0000126
HMDB00127	C00191	HMDB0000127
HMDB0000127	C00191	HMDB0000127
HMDB00128	C00581	HMDB0000128
HMDB0000128	C00581	HMDB0000128
HMDB00130	C00544	HMDB0000130
HMDB0000130	C00544	HMDB0000130
HMDB00131	C00116	HMDB0000131
HMDB0000131	C00116	HMDB0000131
HMDB00132	C00242	HMDB0000132
HMDB0000132	C00242	HMDB0000132
HMDB00133	C00387	HMDB0000133
HMDB0000133	C00387	HMDB0000133
HMDB00134	C00122	HMDB0000134
