KEGG ID	MAPs
C01152	map00340
C01152	map01100
C00986	map00260
C00986	map00330
C00986	map00410
C00986	map01100
C00986	map01120
C00109	map00260
C00109	map00270
C00109	map00290
C00109	map00640
C00109	map00660
C00109	map01100
C00109	map01110
C00109	map01210
C00109	map01230
C05984	map00640
C05299	map00140
C01089	map00072
C01089	map00650
C01089	map01100
C01089	map04024
C00526	map00240
C00526	map01100
C00526	map02010
C00881	map00240
C00881	map01100
C00881	map02010
C05488	map00140
C05488	map01100
C05488	map04927
C05488	map04934
C03205	map00140
C03205	map01100
C03205	map04925
C00847	map00750
C00847	map01100
C00847	map01120
C00141	map00280
C00141	map00290
C00141	map00770
C00141	map00966
C00141	map01100
C00141	map01110
C00141	map01210
C00141	map01230
C00642	map00350
C00642	map00360
C00642	map01100
C00642	map01120
C00642	map01220
C02515	map00350
C02515	map01100
C02515	map04918
C05587	map00350
C05587	map00965
C05587	map01063
C05587	map01100
C05587	map04728
C06001	map00280
C06001	map01100
C06125	map00600
C06125	map01100
C02642	map00240
C02642	map00410
C02642	map00770
C02642	map01100
C00272	map00790
C00272	map01100
C00272	map05418
C00120	map00780
C00120	map01100
C00120	map02010
C00120	map04977
C00523	map00140
C01164	map00100
C01164	map00981
C01164	map01100
C01164	map01110
C00386	map00340
C00386	map00410
C00386	map01100
C00147	map00230
C00147	map00908
C00147	map01100
C05122	map00120
C05122	map00121
C05122	map00430
C05122	map01100
C05122	map04976
C05122	map04979
C01780	map00140
C01780	map01100
C01780	map04925
C01780	map04960
C01780	map07225
C02953	map00790
C02953	map01100
C00246	map00650
C00246	map01100
C00246	map04973
C00246	map04974
C00033	map00010
C00033	map00430
C00033	map00440
C00033	map00534
C00033	map00620
C00033	map00630
C00033	map00640
C00033	map00660
C00033	map00680
C00033	map00720
C00033	map00908
C00033	map00920
C00033	map01100
C00033	map01110
C00033	map01120
C00033	map01200
C00033	map01220
C00033	map04725
C00033	map04973
C00033	map04974
C00719	map00260
C00719	map01100
C00719	map02010
C01041	map00053
C01041	map01100
C00020	map00230
C00020	map00908
C00020	map01060
C00020	map01065
C00020	map01070
C00020	map01100
C00020	map01110
C00020	map01523
C00020	map04022
C00020	map04024
C00020	map04068
C00020	map04150
C00020	map04151
C00020	map04152
C00020	map04211
C00020	map04740
C00020	map04742
C00020	map04923
C00020	map04924
C00020	map04925
C00020	map04927
C00020	map04928
C00020	map04934
C00020	map05012
C00020	map05032
C05400 	map00052
C00212	map00230
C00212	map01100
C00212	map02010
C00212	map04022
C00212	map04024
C00212	map04071
C00212	map04080
C00212	map04270
C00212	map04923
C00212	map04924
C00212	map05012
C00212	map05032
C00212	map05034
C00014	map00220
C00014	map00230
C00014	map00250
C00014	map00260
C00014	map00460
C00014	map00630
C00014	map00910
C00014	map01100
C00014	map01110
C00014	map01120
C00014	map01200
C00014	map01230
C00014	map04964
C00014	map04966
C00014	map04974
C00014	map05110
C00014	map05120
C03406	map00220
C03406	map00250
C03406	map01100
C03406	map01110
C03406	map01230
C00280	map00140
C00280	map00984
C00280	map01100
C00280	map01120
C00280	map01522
C00280	map04913
C00280	map04917
C00280	map05200
C00280	map05215
C06422	
C00099	map00240
C00099	map00410
C00099	map00640
C00099	map00770
C00099	map01100
C00099	map01110
C00099	map04080
C00099	map04974
C00575	map00230
C00575	map01100
C00575	map01522
C00575	map02025
C00575	map02026
C00575	map04010
C00575	map04014
C00575	map04015
C00575	map04020
C00575	map04022
C00575	map04024
C00575	map04062
C00575	map04072
C00575	map04111
C00575	map04113
C00575	map04114
C00575	map04211
C00575	map04213
C00575	map04261
C00575	map04270
C00575	map04340
C00575	map04361
C00575	map04371
C00575	map04540
C00575	map04611
C00575	map04670
C00575	map04710
C00575	map04713
C00575	map04714
C00575	map04720
C00575	map04723
C00575	map04724
C00575	map04725
C00575	map04726
C00575	map04727
C00575	map04728
C00575	map04740
C00575	map04742
C00575	map04750
C00575	map04910
C00575	map04911
C00575	map04912
C00575	map04913
C00575	map04914
C00575	map04915
C00575	map04916
C00575	map04918
C00575	map04919
C00575	map04921
C00575	map04922
C00575	map04923
C00575	map04924
C00575	map04925
C00575	map04926
C00575	map04927
C00575	map04928
C00575	map04934
C00575	map04935
C00575	map04960
C00575	map04961
C00575	map04962
C00575	map04970
C00575	map04971
C00575	map04972
C00575	map04976
C00575	map05012
C00575	map05020
C00575	map05030
C00575	map05031
C00575	map05032
C00575	map05034
C00575	map05110
C00575	map05111
C00575	map05133
C00575	map05142
C00575	map05146
C00575	map05165
C00575	map05166
C00575	map05200
C00575	map05414
C00164	map00072
C00164	map00280
C00164	map00310
C00164	map00350
C00164	map00640
C00164	map00643
C00164	map00650
C00164	map01100
C00164	map01120
C00164	map02020
C00054	map00230
C00054	map00532
C00054	map00534
C00054	map00770
C00054	map00920
C00054	map01100
C00318	map04714
C00318	map04976
C00735	map00140
C00735	map01100
C00735	map04080
C00735	map04927
C00735	map04934
C00735	map04960
C00735	map04976
C00735	map05200
C00735	map05215
C00735	map07225
C00300	map00260
C00300	map00330
C00300	map01100
C00187	map00100
C00187	map00120
C00187	map00140
C00187	map00981
C00187	map00984
C00187	map01066
C00187	map01100
C00187	map01120
C00187	map04913
C00187	map04925
C00187	map04927
C00187	map04934
C00187	map04975
C00187	map04976
C00187	map04977
C00187	map04979
C00187	map05200
C00187	map05217
C00788	map00350
C00788	map01100
C00788	map02020
C00788	map02024
C00788	map04024
C00788	map04080
C00788	map04261
C00788	map04923
C00788	map04924
C00408	map00310
C00408	map00960
C00408	map01060
C00408	map01064
C00408	map01100
C00408	map01110
C05512	map00230
C05512	map01100
C05512	map02010
C00417	map00020
C00417	map00630
C00417	map00660
C00417	map00720
C00417	map01060
C00417	map01061
C00417	map01062
C00417	map01063
C00417	map01064
C00417	map01065
C00417	map01066
C00417	map01070
C00417	map01100
C00417	map01110
C00417	map01120
C00417	map01210
C03758	map00350
C03758	map00950
C03758	map00965
C03758	map01060
C03758	map01063
C03758	map01100
C03758	map01110
C03758	map04024
C03758	map04080
C03758	map04540
C03758	map04721
C03758	map04728
C03758	map04917
C03758	map04976
C03758	map05012
C03758	map05030
C03758	map05031
C03758	map05032
C03758	map05034
C00429	map00240
C00429	map00410
C00429	map00770
C00429	map01100
C01227	map00140
C01227	map00984
C01227	map01100
C01227	map01120
C01227	map04913
C01227	map05200
C01227	map05215
C01419	map00480
C01419	map01100
C00906	
C00063	map00240
C00063	map00515
C00063	map01100
C00330	map00230
C00330	map01100
C00330	map02010
C00670	map00564
C00670	map00565
C00670	map05231
C00543	map00680
C00543	map01100
C00543	map01120
C00543	map01200
C02961	
C01026	map00260
C01026	map01100
C00158	map00020
C00158	map00250
C00158	map00630
C00158	map00720
C00158	map00997
C00158	map01053
C00158	map01060
C00158	map01061
C00158	map01062
C00158	map01063
C00158	map01064
C00158	map01065
C00158	map01066
C00158	map01070
C00158	map01100
C00158	map01110
C00158	map01120
C00158	map01200
C00158	map01210
C00158	map01230
C00158	map02020
C00158	map04742
C00158	map04922
C00158	map05230
C00055	map00240
C00055	map01100
C00114	map00260
C00114	map00564
C00114	map01100
C00114	map02010
C00114	map04725
C00114	map04976
C00114	map05231
C00181	map00040
C00181	map00520
C00181	map01100
C00181	map02010
C02291	map00260
C02291	map00270
C02291	map01100
C02291	map01110
C02291	map01230
C00559	map00230
C00559	map01100
C00559	map02010
C01697	map00052
C01697	map01100
C01697	map02060
C00469	map00010
C00469	map01100
C00469	map01110
C00469	map01120
C00469	map04750
C00469	map05034
C00334	map00250
C00334	map00330
C00334	map00410
C00334	map00650
C00334	map00760
C00334	map01100
C00334	map01120
C00334	map02024
C00334	map04024
C00334	map04080
C00334	map04721
C00334	map04723
C00334	map04727
C00334	map04742
C00334	map04915
C00334	map04929
C00334	map05032
C00334	map05033
C01233	map00564
C01233	map00565
C03547	map00071
C05582	map00350
C05582	map01100
C05582	map04728
C00048	map00230
C00048	map00232
C00048	map00260
C00048	map00330
C00048	map00625
C00048	map00630
C00048	map00660
C00048	map00680
C00048	map00720
C00048	map01100
C00048	map01110
C00048	map01120
C00048	map01200
C00504	map00670
C00504	map00790
C00504	map01061
C00504	map01100
C00504	map01523
C00504	map04976
C00504	map04977
C00031	map00010
C00031	map00030
C00031	map00052
C00031	map00500
C00031	map00520
C00031	map00521
C00031	map00524
C00031	map00901
C00031	map01100
C00031	map01110
C00031	map02010
C00031	map02020
C00031	map02060
C00031	map04066
C00031	map04068
C00031	map04113
C00031	map04152
C00031	map04742
C00031	map04910
C00031	map04911
C00031	map04917
C00031	map04922
C00031	map04930
C00031	map04931
C00031	map04932
C00031	map04933
C00031	map04973
C00031	map04976
C00031	map04978
C00031	map05111
C00031	map05230
C00037	map00120
C00037	map00230
C00037	map00260
C00037	map00310
C00037	map00440
C00037	map00460
C00037	map00480
C00037	map00630
C00037	map00680
C00037	map00730
C00037	map00860
C00037	map00970
C00037	map00997
C00037	map01060
C00037	map01100
C00037	map01110
C00037	map01120
C00037	map01200
C00037	map01230
C00037	map01502
C00037	map02010
C00037	map02026
C00037	map04080
C00037	map04721
C00037	map04974
C00037	map04978
C00037	map05230
C00085	map00052
C00085	map00500
C00085	map00680
C00085	map00710
C00085	map01100
C00085	map01110
C00085	map01120
C00085	map01200
C00085	map04152
C00085	map04922
C00085	map04931
C00085	map05230
C02471	
C00093	map00561
C00093	map00564
C00093	map01100
C00093	map01110
C00093	map02010
C00093	map05231
C00191	map00040
C00191	map00053
C00191	map00520
C00191	map00562
C00191	map01100
C00581	map00260
C00581	map00330
C00581	map01100
C00544	map00130
C00544	map00350
C00544	map00643
C00544	map01100
C00544	map01120
C00116	map00040
C00116	map00052
C00116	map00561
C00116	map01100
C00116	map02010
C00116	map04714
C00116	map04723
C00116	map04923
C00242	map00230
C00242	map01100
C00387	map00230
C00387	map01100
C00387	map02010
C00122	map00020
C00122	map00190
C00122	map00220
