day,death,censor,genotypes,condition
0,0,0,wt,control
3,0,0,wt,control
5,0,0,wt,control
8,0,0,wt,control
10,0,0,wt,control
12,0,0,wt,control
15,0,0,wt,control
17,0,0,wt,control
19,0,0,wt,control
22,0,0,wt,control
24,0,0,wt,control
26,0,0,wt,control
29,0,0,wt,control
31,1,0,wt,control
33,0,0,wt,control
36,0,0,wt,control
38,0,0,wt,control
40,0,1,wt,control
43,1,0,wt,control
45,1,0,wt,control
47,0,0,wt,control
50,3,0,wt,control
52,2,0,wt,control
54,1,0,wt,control
57,9,0,wt,control
59,6,0,wt,control
61,7,0,wt,control
64,6,0,wt,control
66,6,0,wt,control
68,6,0,wt,control
71,7,0,wt,control
73,9,0,wt,control
75,9,0,wt,control
77,6,0,wt,control
79,4,0,wt,control
81,7,0,wt,control
83,2,0,wt,control
85,4,0,wt,control
87,2,0,wt,control
0,0,0,wt,treated
3,0,1,wt,treated
5,0,0,wt,treated
8,0,0,wt,treated
10,0,0,wt,treated
12,0,0,wt,treated
15,0,0,wt,treated
17,0,0,wt,treated
19,0,0,wt,treated
22,0,0,wt,treated
24,0,0,wt,treated
26,0,0,wt,treated
29,2,0,wt,treated
31,3,0,wt,treated
33,7,0,wt,treated
36,11,0,wt,treated
38,8,0,wt,treated
40,9,0,wt,treated
43,9,0,wt,treated
45,8,0,wt,treated
47,5,0,wt,treated
50,9,0,wt,treated
52,7,0,wt,treated
54,5,0,wt,treated
57,4,0,wt,treated
59,4,0,wt,treated
61,3,0,wt,treated
64,2,0,wt,treated
66,1,0,wt,treated
68,2,0,wt,treated
71,0,0,wt,treated
73,0,0,wt,treated
75,0,0,wt,treated
77,0,0,wt,treated
79,0,0,wt,treated
81,0,0,wt,treated
83,0,0,wt,treated
85,0,0,wt,treated
87,0,0,wt,treated
0,0,0,mut,wt
3,0,0,mut,wt
5,0,0,mut,wt
8,0,0,mut,wt
10,0,0,mut,wt
12,0,0,mut,wt
15,0,0,mut,wt
17,0,0,mut,wt
19,0,0,mut,wt
22,0,0,mut,wt
24,0,0,mut,wt
26,0,0,mut,wt
29,0,0,mut,wt
31,0,0,mut,wt
33,0,0,mut,wt
36,3,0,mut,wt
38,3,0,mut,wt
40,1,0,mut,wt
43,3,0,mut,wt
45,4,0,mut,wt
47,5,0,mut,wt
50,13,0,mut,wt
52,6,0,mut,wt
54,6,0,mut,wt
57,20,0,mut,wt
59,10,0,mut,wt
61,9,0,mut,wt
64,7,0,mut,wt
66,4,0,mut,wt
68,2,0,mut,wt
71,3,0,mut,wt
73,1,0,mut,wt
75,0,0,mut,wt
77,0,0,mut,wt
79,0,0,mut,wt
81,0,0,mut,wt
83,0,0,mut,wt
85,0,0,mut,wt
87,0,0,mut,wt
0,0,0,mut,treated
3,0,0,mut,treated
5,0,0,mut,treated
8,0,0,mut,treated
10,0,0,mut,treated
12,0,1,mut,treated
15,0,0,mut,treated
17,0,1,mut,treated
19,0,1,mut,treated
22,0,0,mut,treated
24,1,0,mut,treated
26,2,0,mut,treated
29,4,0,mut,treated
31,3,0,mut,treated
33,6,0,mut,treated
36,12,0,mut,treated
38,8,0,mut,treated
40,11,0,mut,treated
43,10,0,mut,treated
45,9,0,mut,treated
47,7,0,mut,treated
50,9,0,mut,treated
52,3,0,mut,treated
54,4,0,mut,treated
57,2,0,mut,treated
59,1,0,mut,treated
61,1,0,mut,treated
64,2,0,mut,treated
66,1,0,mut,treated
68,0,0,mut,treated
71,1,0,mut,treated
73,0,0,mut,treated
75,0,0,mut,treated
77,0,0,mut,treated
79,0,0,mut,treated
81,0,0,mut,treated
83,0,0,mut,treated
85,0,0,mut,treated
87,0,0,mut,treated
